index,Product,Price,Discount,Available
1,Túi 46 Gói Nescafé Đậm Đà Hài Hòa (17g),89.000 ₫,-41%,Đã bán 45
2,Điện Thoại Oppo A54 (6GB/128GB) - Hàng Chính Hãng,4.250.000 ₫,-2%,Đã bán 12
3,Combo 2 Tã Dán Người Lớn SunMate G2 Size M/L10 (10 Miếng),135.000 ₫,-34%,Đã bán 5
4,Sữa tắm detox Lifebuoy Matcha & Khổ qua 850g chiết xuất từ thiên nhiên giúp ngừa mụn cơ thể và sạch sâu khỏi bụi mịn,142.000 ₫,-20%,Đã bán 10
5,"Bàn Chải Điện P/S S100 PRO - Công Nghệ Sóng Âm, Chải Sạch Mảng Bám Tới 10X - Đen Nhám",780.000 ₫,-40%,Đã bán 2
6,"Combo 3 Chiếc Quần Lót Nữ Thời Trang Không Đường May iBasic V188, Mềm Mịn, Thoáng Mát - Hàng Chính Hãng",165.000 ₫,-20%,Vừa mở bán
7,Nồi chiên không dầu Tefal EY201815 - Hàng chính hãng,1.994.000 ₫,-55%,Vừa mở bán
8,Lốc 6 Chai Trà Ô Long Tea+ Plus (350ml x 6 Chai),38.000 ₫,-14%,Đã bán 6
9,Nồi chiên không dầu vỏ thép Tefal EY701D15 - Dung tích 5.6L Size lớn XXL Công suất 1850W - Hàng chính hãng,3.544.000 ₫,-46%,Vừa mở bán
10,Smart Tivi Crystal Samsung 4K 43 inch UA43AU8000 Mới 2021,12.662.000 ₫,-28%,Vừa mở bán
11,Thùng 48 Hộp Sữa Nestlé Milo Ít Đường (180ml/ Hộp),299.000 ₫,-19%,Đã bán 25
12,Điện Thoại iPhone 12 Pro 128GB - Hàng Chính Hãng,25.940.000 ₫,-3%,Vừa mở bán
13,Bộ Cây Lau Nhà Tự Vắt Thông Minh 2 Ngăn Parroti Pro PR01 Cao Cấp - Lau Sạch Khô Nhanh – 3 Miếng Lau Microfiber,395.000 ₫,-53%,Đã bán 2
14,Nón rộng vành gấp gọn chống nắng phong cách Hàn Quốc dn20092401,140.000 ₫,-17%,Vừa mở bán
15,Combo Dầu Gội (640g) Và Dầu Xả (620g) Tresemmé Keratin Smooth Tinh Dầu Argan Và Keratin Vào Nếp Suôn Mượt,263.000 ₫,-29%,Vừa mở bán
16,"Mũ Bảo Hiểm Xe Đạp Thời Trang, Nón Bảo Hiểm Xe Đạp Thể Thao Cao Cấp Protec Win 037 Thiết Kế Thông Minh, An Toàn, Siêu Nhẹ - Hàng Chính Hãng",311.000 ₫,-26%,Vừa mở bán
17,Máy xay sinh tố và làm sữa hạt đa năng Tefal BL967B66- - 1300W - Lưỡi dao với công nghệ Powelix - Hàng chính hãng,2.994.000 ₫,-37%,Vừa mở bán
18,Thắt lưng nam cao cấp AT Leather P110 - Nâu,165.000 ₫,-44%,Vừa mở bán
19,Combo Tiết Kiệm: 6 Gói Khăn Ướt Bobby Care Không Hương 100 Miếng/Gói,170.000 ₫,-31%,Đã bán 3
20,Tủ lạnh Aqua 90 lít AQR-D99FA(BS),2.649.000 ₫,-4%,Đã bán 1
21,"Bàn Chải Điện P/S S100 PRO - Công Nghệ Sóng Âm, Chải Sạch Mảng Bám Tới 10X - Xanh Ombre",780.000 ₫,-40%,Đã bán 3
22,Thùng Sữa đậu nành Fami Canxi ít đường (200ml x 40 bịch),109.000 ₫,-35%,Đã bán 17
23,Bộ sản phẩm bảo vệ và chống nắng toàn diện La Roche-Posay Anthelios Dry Touch ,605.000 ₫,-8%,Đã bán 2
24,Combo 2 Túi nước giặt xả Maxkleen Hương Huyền Diệu 3.8kg/túi ,272.000 ₫,-28%,Đã bán 1
25,"Bóp Ví Mini J4M để thẻ, card visit, phong cách thời trang công sở , VS22",55.000 ₫,-44%,Vừa mở bán
26,Điện Thoại OnePlus  Nord CE 5G (12GB/256G) - Hàng Chính Hãng,8.250.000 ₫,-13%,Vừa mở bán
27,"Combo 3 Quần Lót Nam Boxer 5S,  Cạp To, Thấm Hút, Co Giãn, Kháng Khuẩn Cực Tốt (X3-SIP21011BOX).",139.000 ₫,-58%,Vừa mở bán
28,Adapter Sạc 1 Cổng USB Type-C 20W Apple MHJE3ZA/A - Hàng Chính Hãng,450.000 ₫,-4%,Đã bán 1
29,Loa Bluetooth JBL Charge 4 30W - Hàng Chính Hãng,2.190.000 ₫,-45%,Vừa mở bán
30,Bàn Làm Việc Gỗ Chân Sắt BEYOURs Kèm Kệ Sách Chắc Chắn Thông Minh - Dễ Dàng Lắp Ráp - Simple - Nội Thất Phòng Làm Việc,899.000 ₫,-35%,Vừa mở bán
31,Điện Thoại iPhone 12 Pro Max 256GB - Hàng Chính Hãng,30.990.000 ₫,-18%,Vừa mở bán
32,"Bộ lấy ráy tai đa năng 6 món Cao cấp bằng thép không rỉ KitAcoom, hàng nhập khẩu cao cấp có hộp đựng",34.000 ₫,-15%,Vừa mở bán
